10,0.33,0.18,
15,0.47,0.24,
20,0.71,0.34,
25,0.77,0.4,
30,0.96,0.47,
35,1.22,0.62,
40,1.34,0.68,
45,1.51,0.75,
50,1.76,0.81,
55,1.9,0.90000000000001,
60,2.07,0.96,
65,2.5,1.18,
70,2.49,1.26,
75,2.55,1.34,
80,2.78,1.41,
85,2.96,1.59,
90,3.1,1.67,
95,3.37,1.79,
100,3.88,1.88,
